,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
011.txt,0.5942298806933506,0.202429579780142,0.019180784239363452,0.017185128848795517,-0.039122538024930716,-0.07023517380395994,0.13827432143719992,-0.11229223493582419,-0.03645112940553937,-0.12977621254475286,-0.26850219150745336,0.23485588522021456,0.1018090759255245,-0.1727189242669302,-0.0887265049589546,0.09953996286041318,0.20613418350327892,-0.2518995700233416,-0.19423693368103032,-0.24243705197327112,-0.08673687226254234,-0.0050560379493619,0.09035818900423645,0.26766958143741787,-0.06810675486552291,-0.0708011318952067,-0.2213866389678661,-0.0667268310199986,0.07748376991511914,-0.0687734020345962
012.txt,0.5949548545041687,0.26998166079858726,0.18159848013126,0.08736090631868894,0.07539106138959083,0.09446383033849715,-0.044490585927241484,-0.11510019895248319,0.14268210620322277,0.10263197926878172,0.02413579085651265,0.040929973904084906,0.0944683713098785,0.3111779356252174,0.19496496682020015,0.0069655818265023026,-0.18289428103220262,0.004904155930658569,0.12546580444731378,-0.21502056025522784,0.06793539983568105,-0.055711586092331296,-0.2587314697556702,-0.16603899628780255,-0.010883926795132113,-0.046182108537526564,-0.18001047139008206,-0.276369546891892,0.13041745121211,0.0022790891005153575
013.txt,0.38831797222757,0.14817911781814247,0.002145229840353222,0.005244972728246462,-0.18454435812333558,0.12496188444507444,0.3719948056933143,0.3222054600150846,0.16070151369013022,0.460087494767705,0.2326524054768926,-0.21770683568794397,0.26189903274245624,-0.15756440884980072,0.13050046440148808,0.060443439991343634,0.1408518104390997,-0.16628236358333282,-0.009369770452864771,0.020578784774684566,-0.018101921997865037,-0.11894518704952786,-0.06017606897922315,-0.007541261102566957,-0.062222943555062686,-0.026030328736779858,-0.000607395430689598,0.0821298152964751,-0.04921333308511023,-0.04847871171088437
014.txt,0.4703603609732202,0.20212087473491916,0.1732460455605715,-0.24473074522791224,0.1521691587158395,0.24298281195541951,0.27453322906248523,-0.2068814226733237,-0.049989068174030454,-0.2410685541256922,0.1091963191252391,0.21344732660714105,0.16240469983684494,-0.17260590585459426,-0.06986221432569788,-0.2250360089253509,0.019870585236082504,-0.12307093310175496,0.25355977792312395,0.024185792683174438,0.22009305827719666,0.08076748116922847,0.10052443384165768,-0.2140737333933625,-0.023854792003594825,0.10048855803964686,0.03498212452639854,0.10333960110357618,-0.034662212570210196,-0.052561375995774366
015.txt,0.5812020455116974,0.20498740478973212,0.24836493604453255,-0.08493932767766449,0.09600535185017817,0.11903466388607514,0.22422886748759474,-0.11672064264932809,-0.09923125211262035,-0.11519209037946646,0.09785636635075955,0.032160641973010745,-0.037813215885997446,0.03946687900297554,0.2116966942016237,-0.10846889838697056,-0.2050806078730832,0.09719097366319812,-0.08426910865373034,0.2445048695232539,-0.35108685483446034,0.02434056916969196,0.01601374619433717,0.20388746646884748,-0.1161225977027015,-0.170878504548783,0.13352640555190712,-0.10333136380813203,-0.12355534560730086,0.013254790124455483
016.txt,0.20468680869527472,-0.31789806982060637,0.2779713388778339,0.059205192197014506,-0.16558470855575208,-0.4171065002864224,0.26890658643787885,0.37523094542357627,-0.25316820398286816,-0.06093191708924153,0.2705530063380694,0.3265878685709379,-0.20780839274651933,0.14176890854673682,0.047612125167453265,-0.00023340701802594425,-0.073317015493966,-0.06049833156542634,0.0016932328527526045,-0.13156163674003274,0.07229213816187012,0.07846637908170505,-0.036057553667067484,-0.023090434499775173,-0.032474424873186844,-0.02779777601263803,-0.009716186765023673,0.0641286002612822,0.023538033445391456,0.04898071322220806
017.txt,0.6912256863775336,0.1385228843529008,-0.022023723633172416,-0.11044866924599714,0.07998456595719396,-0.14710750794595467,-0.09305727645077232,0.08554821437499864,-0.09128588950463024,-0.005865866945234009,0.12430733431394297,-0.05089073525234244,-0.14223240035066145,0.1369711176030137,-0.000980719591425512,-0.05859029391329277,0.03970998949799924,-0.015545659091333335,-0.22389155643876096,0.04831644156764966,0.08832785235180445,-0.26041037657620925,0.20737108075088642,-0.07216593335359699,0.16556520537988503,0.1734426458328809,-1.7434477595383722e-05,-0.17644965455525097,-0.15869701789533158,-0.292512637496683
018.txt,0.6137257385155923,-0.044706920380278285,-0.04933825124034666,-0.016456425816635867,-0.05219674779636927,-0.2644786246844106,0.12228190057004466,0.007681119157820311,-0.17894041022303228,-0.06262799026604528,-0.1242205011180906,0.010460232613148709,0.05214517662048079,-0.25479232100387766,-0.16580333972391254,0.03000674718434925,-0.01424756704477359,0.20112853531243877,0.09707594515487487,0.36100065900551387,0.0717339985565785,-0.30873883165474597,-0.22794367119099174,-0.002072059819423551,-0.028011538466934716,0.059018304910269236,-0.12526061015980788,-0.07956272575641048,0.12789208227065804,0.08925561106869927
019.txt,0.588610964128938,0.0840410938311954,-0.12278907568223357,0.029097610106901716,-0.16954574581353637,-0.22722391502174663,-0.11082698871649693,-0.15073349060987085,-0.09118435415696306,-0.02309283932257263,0.07737595261996141,-0.12201465440422002,-0.2060992206568164,-0.06580126705344348,0.058111660833812105,0.09181302852405013,0.4314544057144638,-0.07689258712435798,0.29155235789842654,0.053943142579822814,-0.06791310320147598,0.2298676791444139,-0.09755434283245253,-0.09939207797929964,-0.0025229524533799783,-0.1410260185398189,0.10985759540079683,-0.17206411530168222,-0.06691093142730968,-0.0629558357179357
020.txt,0.6581046831007995,0.11490210757281649,-0.05223865625649177,-0.14192913965893086,0.1268869073647765,-0.056547714872892875,-0.18726391580061583,0.15553259214114803,-0.044073963741922836,0.04967984676852385,-0.23214960469348292,0.09226389582841639,0.1634957481120135,0.09343165345635733,0.06401437196308744,-0.07499960226886178,0.07007966579942082,-0.06736541511386568,-0.08056068311644345,-0.0511610630757988,0.3307339728855134,-0.07724342384666856,-0.08843265533564962,0.14215221326350613,0.04230210939441307,-0.1660408751945248,0.2996383936226633,-0.00946552558248262,-0.13457243136745187,0.20245919873412052
